,province,nowConfirm,confirm,dead,heal,deadRate,healRate
0,香港,883,10085,169,9033,1.68,89.57
1,河北,841,1288,7,440,0.54,34.16
2,黑龙江,382,1359,13,964,0.96,70.93
3,吉林,206,363,2,155,0.55,42.70
4,上海,102,1641,7,1532,0.43,93.36
5,台湾,95,889,7,787,0.79,88.53
6,北京,51,1025,9,965,0.88,94.15
7,广东,43,2104,8,2053,0.38,97.58
8,陕西,24,534,3,507,0.56,94.94
9,天津,24,336,3,309,0.89,91.96
10,福建,17,534,1,516,0.19,96.63
11,辽宁,16,397,2,379,0.50,95.47
12,内蒙古,14,366,1,351,0.27,95.90
13,山西,13,237,0,224,0.00,94.51
14,四川,11,866,3,852,0.35,98.38
15,浙江,10,1316,1,1305,0.08,99.16
16,湖南,6,1027,4,1017,0.39,99.03
17,江苏,6,691,0,685,0.00,99.13
18,河南,4,1303,22,1277,1.69,98.00
19,广西,3,267,2,262,0.75,98.13
20,山东,3,866,7,856,0.81,98.85
21,甘肃,1,183,2,180,1.09,98.36
22,重庆,1,591,6,584,1.02,98.82
23,湖北,1,68150,4512,63637,6.62,93.38
24,安徽,1,994,6,987,0.60,99.30
25,云南,1,231,2,228,0.87,98.70
26,澳门,1,47,0,46,0.00,97.87
27,西藏,0,1,0,1,0.00,100.00
28,贵州,0,147,2,145,1.36,98.64
29,青海,0,18,0,18,0.00,100.00
30,宁夏,0,75,0,75,0.00,100.00
31,江西,0,935,1,934,0.11,99.89
32,新疆,0,980,3,977,0.31,99.69
33,海南,0,171,6,165,3.51,96.49
